word	pinyin	definition	pos	sentence	translation
それ		that, that one	Pronoun	それはとってもいい話だ。	That's a really nice story.
見る	jian4, xian4	see, look at	Verb	私は絵を見るのが好きです。	I like looking at pictures.
円	yuan2	circle	Noun	そこに大きな円を描いて。	Draw a big circle there.
多い	duo1	lots of	Adjective	京都にはお寺が多い。	There are a lot of temples in Kyoto.
家	jia1, gu1	house, home	Noun	家に遊びに来てください。	Please come over to my house.
これ		this, this one	Noun	これをください。	I'll have this please.
新しい	xin1	new	Adjective	彼の車は新しい。	His car is new.
私	si1	I	Noun	私が行きましょう。	Why don't I go.
仕事	shi4, shi4	work, job	Noun	3月は仕事が忙しい。	I have a lot of work in March.
始める	shi3	begin, start	Verb	テストを始めてください。	Please start the test.
なる		become	Verb	彼は医者になりました。	He became a doctor.
する		do, make	Verb	友達と一緒に宿題をした。	I did my homework with a friend.
出る	chu1	go out, leave	Verb	今朝は早く家を出ました。	I left the house early this morning.
使う	shi3, shi4	use	Verb	このパソコンを使ってください。	Please use this computer.
ところ		place	Noun	私は友達のところに泊まった。	I stayed at my friend's place for the night.
思う	si1, sai1	think	Verb	私もそう思います。	I think so too.
持つ	chi2	have, possess	Verb	私は車を持っています。	I have a car.
時間	shi2, jian1, jian4	time, hour	Noun	今は時間がありません。	I don't have time now.
今年	jin1, nian2	this year	Noun	今年はイタリアに旅行したい。	I want to travel to Italy this year.
知る	zhi1, zhi4	know	Verb	誰もその話を知らない。	No one knows that story.
作る	zuo1, zuo4, zuo2	make, create	Verb	今、朝ご飯を作っています。	I'm making breakfast now.
同じ	tong2, tong4	same, identical	Adjectival Noun	彼の日本語のレベルは私と同じ位だ。	His Japanese level is about the same as mine.
今	jin1	now	Adverb	彼は今、勉強しています。	He's studying now.
続く	xu4	continue, follow	Verb	工事は3月まで続きます。	Construction will continue until March.
国	guo2	country	Noun	私の国について少しお話しましょう。	Let me tell you a bit about my country.
未だ	wei4	yet, more	Adverb	宿題は未だ終わっていません。	I haven't finished my homework yet.
やる		do	Verb	一緒に宿題をやろう。	Let's do our homework together.
言う	yan2	say, tell	Verb	上司が「一杯、飲もう。」と言った。	My boss said: "Let's have a drink."
少ない	shao3, shao4	few, little	Adjective	今年は雨が少ないです。	There's not much rain this year.
行く	xing2, hang2, hang4, xing4	go	Verb	日曜日は図書館に行きます。	I go to the library on Sundays.
決める	jue2	decide, agree upon	Verb	帰国することに決めました。	I've decided to go back to my country.
高い	gao1	high, tall	Adjective	これがこの町で一番高いビルです。	This is the tallest building in town.
考える	kao3	think, consider	Verb	よく考えてください。	Please think carefully.
感じる	gan3	feel, sense	Verb	膝に痛みを感じます。	I feel a pain in my knee.
子供	zi3, zi2, zi5, gong1, gong4	child, kid	Noun	電車で子供が騒いでいた。	Kids were making a racket in the train.
そう		in such manner, that way	Adverb	私もそう思います。	That's what I think too.
大学	da4, dai4, xue2	university, college	Noun	大学に行ってもっと勉強したいです。	I want to go to college and study more.
もう		already, yet	Adverb	彼はもう帰りました。	He's already gone home.
近く	jin4	near, close to	Adverb	駅の近くで食事をした。	I ate near the station.
入れる	ru4	put in	Verb	彼はかばんに手帳を入れた。	He put the appointment book in his bag.
学生	xue2, sheng1	student	Noun	彼は真面目な学生です。	He's a serious student.
午後	wu3, hou4	afternoon, p.m.	Noun	明日の午後、お客様が来る。	A guest is coming to visit tomorrow afternoon.
長い	chang2, zhang3	long	Adjective	彼女の髪はとても長い。	Her hair is very long.
本	ben3	book, volume	Noun	本を１冊買いました。	I bought one book.
よく		often	Adverb	彼女はよく旅行に行きます。	She often goes on holiday.
彼女	bi3, nu:3, ru3	she, one's girlfriend	Pronoun	彼女はOLです。	She's an office worker.
聞く	wen2, wen4	hear, ask	Verb	彼女はラジオを聞いています。	She's listening to the radio.
どう		how, what	Adverb	あなたはどう思いますか。	What do you think?
